Tourist ID,Age,Interests,Preferred Tour Duration,Accessibility,Site Name,Sites Visited,Tour Duration,Route ID,Tourist Rating,System Response Time,Recommendation Accuracy,VR Experience Quality,Satisfaction
97,44,"['History', 'Architecture', 'Cultural']",6,False,Great Wall of China,"['Colosseum', 'Eiffel Tower']",5,97000,3.9,2.22,95,4.1,4
98,45,['History'],7,False,Colosseum,['Colosseum'],1,98000,4.4,3.74,96,4.9,4
99,66,"['History', 'Art', 'Architecture']",6,True,Eiffel Tower,"['Colosseum', 'Taj Mahal', 'Eiffel Tower']",6,99000,1.4,1.7,89,4.7,3
100,22,"['Cultural', 'Art', 'History']",6,True,Machu Picchu,"['Colosseum', 'Machu Picchu']",6,100000,1.6,1.96,94,4.7,3
101,63,['History'],5,False,Taj Mahal,['Machu Picchu'],2,101000,2.1,4.62,87,4.4,3
102,47,"['Architecture', 'Cultural']",4,False,Colosseum,"['Colosseum', 'Great Wall of China', 'Eiffel Tower']",3,102000,1.3,1.97,96,4.4,3
103,20,"['Architecture', 'Nature']",6,True,Great Wall of China,['Great Wall of China'],2,103000,3.9,2.77,85,4.1,4
104,42,"['Cultural', 'History', 'Nature']",4,False,Taj Mahal,['Taj Mahal'],1,104000,2.1,4.5,87,4.5,3
105,70,"['History', 'Nature']",3,True,Colosseum,"['Machu Picchu', 'Eiffel Tower']",4,105000,2.4,4.58,93,4.4,3
106,54,"['Nature', 'History', 'Cultural']",8,True,Eiffel Tower,"['Colosseum', 'Taj Mahal']",3,106000,2.6,2.9,88,4.5,3
107,70,"['History', 'Art']",8,False,Eiffel Tower,"['Great Wall of China', 'Taj Mahal']",5,107000,4.2,2.6,92,4.5,4
108,59,['Cultural'],7,True,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",7,108000,3.9,2.95,91,4.3,4
109,66,['Cultural'],6,False,Taj Mahal,"['Great Wall of China', 'Machu Picchu', 'Eiffel Tower']",5,109000,4.8,1.68,94,4.9,5
110,34,"['Architecture', 'Cultural']",7,True,Taj Mahal,"['Great Wall of China', 'Eiffel Tower']",6,110000,1.8,3.84,92,4.8,3
111,69,"['Art', 'Architecture', 'Nature']",6,False,Taj Mahal,['Great Wall of China'],3,111000,4.3,4.84,96,5.0,4
112,56,"['Architecture', 'History', 'Cultural']",7,True,Machu Picchu,"['Great Wall of China', 'Machu Picchu']",5,112000,2.5,2.1,88,4.2,3
113,62,"['Art', 'Architecture']",8,True,Great Wall of China,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",4,113000,1.3,3.21,94,4.1,3
114,51,"['History', 'Cultural', 'Architecture']",3,False,Colosseum,['Taj Mahal'],2,114000,4.0,2.54,87,4.8,4
115,31,['Nature'],4,False,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",7,115000,1.6,2.97,86,4.2,3
116,59,"['Art', 'Nature']",3,True,Colosseum,['Colosseum'],1,116000,1.3,4.03,86,4.1,3
117,48,"['Cultural', 'History']",8,True,Taj Mahal,"['Eiffel Tower', 'Great Wall of China', 'Colosseum']",4,117000,1.8,3.48,86,4.4,3
118,39,"['Architecture', 'Cultural', 'History']",3,True,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Taj Mahal']",5,118000,4.8,3.63,88,4.3,5
119,25,"['Cultural', 'History', 'Nature']",8,True,Taj Mahal,['Colosseum'],2,119000,2.4,2.65,86,4.6,3
120,22,"['Cultural', 'History']",4,True,Colosseum,['Colosseum'],3,120000,1.5,3.68,99,4.1,3
121,32,"['History', 'Art', 'Nature']",6,True,Eiffel Tower,"['Colosseum', 'Great Wall of China']",3,121000,3.6,2.22,86,4.9,4
122,52,"['Cultural', 'Architecture', 'Nature']",6,False,Machu Picchu,"['Colosseum', 'Great Wall of China']",4,122000,4.7,2.55,88,4.9,5
123,27,['History'],8,True,Eiffel Tower,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",6,123000,1.4,3.8,88,4.3,3
124,67,['Art'],8,True,Eiffel Tower,['Taj Mahal'],3,124000,2.1,4.4,87,4.1,3
125,28,['Architecture'],3,False,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Colosseum']",4,125000,2.6,4.44,94,4.6,3
126,59,['Architecture'],3,True,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",3,126000,1.1,4.48,98,4.4,3
127,25,"['Nature', 'Art', 'Cultural']",3,True,Great Wall of China,"['Taj Mahal', 'Great Wall of China']",3,127000,1.2,4.56,97,4.4,3
128,51,['Art'],5,False,Machu Picchu,"['Great Wall of China', 'Taj Mahal']",4,128000,4.2,3.87,92,4.4,4
129,65,['Nature'],5,False,Machu Picchu,['Taj Mahal'],1,129000,3.6,4.04,85,4.3,4
130,32,"['Architecture', 'History']",7,True,Great Wall of China,"['Great Wall of China', 'Machu Picchu']",3,130000,2.5,4.68,99,4.4,3
131,24,"['Cultural', 'Architecture', 'History']",6,False,Eiffel Tower,"['Taj Mahal', 'Colosseum', 'Eiffel Tower']",7,131000,4.4,1.65,88,4.9,4
132,40,"['Architecture', 'Cultural']",7,True,Machu Picchu,"['Great Wall of China', 'Taj Mahal']",4,132000,3.7,4.22,90,4.5,4
133,52,"['Cultural', 'History']",8,True,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",6,133000,3.5,2.06,85,4.9,4
134,38,"['Architecture', 'Cultural', 'History']",5,True,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",7,134000,3.3,3.06,86,4.3,3
135,20,['History'],6,True,Eiffel Tower,"['Machu Picchu', 'Great Wall of China']",4,135000,3.9,2.89,92,4.5,4
136,19,"['Architecture', 'Nature', 'Cultural']",6,False,Taj Mahal,"['Great Wall of China', 'Taj Mahal', 'Colosseum']",8,136000,4.6,4.75,87,4.6,5
137,21,"['Nature', 'History']",3,True,Machu Picchu,"['Machu Picchu', 'Taj Mahal', 'Colosseum']",8,137000,2.0,3.13,89,4.1,3
138,39,"['Cultural', 'Architecture', 'Nature']",5,True,Great Wall of China,['Taj Mahal'],3,138000,4.3,4.45,91,4.2,4
139,22,"['Cultural', 'History']",8,True,Machu Picchu,['Eiffel Tower'],2,139000,2.3,2.24,89,4.2,3
140,36,['Art'],7,True,Colosseum,['Taj Mahal'],3,140000,4.9,3.34,90,5.0,5
141,22,['Nature'],7,True,Machu Picchu,"['Great Wall of China', 'Eiffel Tower']",5,141000,4.9,1.88,85,5.0,5
142,35,['Art'],4,True,Machu Picchu,['Machu Picchu'],2,142000,2.4,2.8,98,4.6,3
143,66,"['Architecture', 'Art', 'Nature']",7,True,Machu Picchu,['Colosseum'],3,143000,3.4,4.92,99,4.9,3
144,65,"['History', 'Architecture']",4,False,Machu Picchu,"['Colosseum', 'Machu Picchu']",3,144000,2.9,2.61,86,4.7,3
145,69,"['Cultural', 'Architecture', 'Nature']",6,True,Eiffel Tower,['Eiffel Tower'],3,145000,2.2,1.83,85,4.7,3
146,28,['Art'],5,True,Colosseum,['Machu Picchu'],3,146000,4.8,2.7,96,4.7,5
147,56,['Architecture'],8,True,Colosseum,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",7,147000,4.6,1.71,100,4.3,5
148,31,['Architecture'],8,False,Eiffel Tower,"['Taj Mahal', 'Colosseum']",4,148000,3.9,4.27,100,4.1,4
149,65,"['Art', 'History', 'Nature']",8,True,Taj Mahal,"['Taj Mahal', 'Colosseum', 'Machu Picchu']",7,149000,4.1,4.91,87,4.1,4
150,18,"['Architecture', 'Nature', 'History']",3,False,Machu Picchu,['Great Wall of China'],3,150000,1.1,3.64,90,4.1,3
151,30,['Nature'],8,True,Machu Picchu,"['Taj Mahal', 'Colosseum']",6,151000,2.1,3.12,96,4.4,3
152,51,['Art'],3,True,Eiffel Tower,['Machu Picchu'],2,152000,1.7,3.18,98,4.6,3
153,35,"['Nature', 'History', 'Cultural']",4,False,Taj Mahal,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",7,153000,2.2,2.17,93,4.8,3
154,42,['Cultural'],6,False,Taj Mahal,['Taj Mahal'],2,154000,2.1,4.21,87,4.3,3
155,18,"['Cultural', 'Nature', 'History']",5,False,Eiffel Tower,['Machu Picchu'],3,155000,3.0,4.15,91,5.0,3
156,59,"['History', 'Architecture']",7,False,Taj Mahal,['Great Wall of China'],1,156000,3.4,3.46,89,4.1,3
157,39,"['Art', 'Nature', 'Architecture']",6,True,Taj Mahal,['Eiffel Tower'],1,157000,1.7,4.63,93,4.5,3
158,70,"['Nature', 'Cultural', 'Art']",6,False,Colosseum,['Taj Mahal'],2,158000,2.6,2.02,92,4.9,3
159,45,"['Art', 'Cultural', 'Nature']",4,True,Eiffel Tower,"['Colosseum', 'Machu Picchu']",3,159000,1.4,3.62,87,4.0,3
160,66,['Nature'],3,True,Machu Picchu,['Eiffel Tower'],1,160000,2.7,3.14,90,4.9,3
161,53,"['History', 'Cultural']",8,False,Taj Mahal,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",7,161000,1.0,3.42,96,4.6,3
162,39,"['Nature', 'Architecture', 'History']",6,True,Taj Mahal,"['Colosseum', 'Taj Mahal', 'Machu Picchu']",8,162000,4.7,2.53,88,4.7,5
163,41,"['Architecture', 'Cultural', 'Art']",6,False,Colosseum,['Eiffel Tower'],2,163000,3.8,3.64,94,4.6,4
164,24,"['History', 'Art']",3,False,Great Wall of China,"['Eiffel Tower', 'Machu Picchu']",6,164000,3.3,2.11,99,4.2,3
165,34,['Nature'],3,True,Eiffel Tower,"['Machu Picchu', 'Colosseum', 'Eiffel Tower']",7,165000,1.2,3.43,96,4.0,3
166,43,"['Architecture', 'Nature', 'Cultural']",4,False,Machu Picchu,"['Eiffel Tower', 'Great Wall of China']",4,166000,3.4,1.62,92,4.1,3
167,43,['Art'],7,True,Colosseum,"['Colosseum', 'Taj Mahal']",3,167000,3.9,3.81,85,4.4,4
168,21,"['History', 'Architecture']",3,False,Great Wall of China,"['Machu Picchu', 'Eiffel Tower']",4,168000,2.3,3.06,98,4.1,3
169,69,"['Art', 'Cultural', 'Architecture']",3,True,Great Wall of China,"['Taj Mahal', 'Eiffel Tower']",6,169000,3.2,1.95,86,4.6,3
170,46,"['Cultural', 'Nature', 'Architecture']",4,False,Colosseum,['Colosseum'],1,170000,3.8,3.68,92,4.5,4
171,66,['Art'],3,True,Eiffel Tower,"['Machu Picchu', 'Great Wall of China', 'Taj Mahal']",6,171000,2.1,1.85,88,4.2,3
172,53,['Art'],3,True,Great Wall of China,"['Taj Mahal', 'Eiffel Tower']",3,172000,3.4,2.73,90,4.6,3
173,45,"['Architecture', 'Cultural', 'Nature']",5,False,Taj Mahal,['Great Wall of China'],1,173000,4.0,4.68,88,4.9,4
174,63,"['Architecture', 'Art', 'History']",3,False,Colosseum,"['Colosseum', 'Great Wall of China']",4,174000,2.1,3.28,100,4.6,3
175,35,['History'],4,True,Taj Mahal,['Taj Mahal'],3,175000,4.0,3.27,93,4.7,4
176,45,"['Cultural', 'History', 'Art']",4,True,Machu Picchu,"['Colosseum', 'Great Wall of China', 'Eiffel Tower']",4,176000,1.5,1.86,87,4.9,3
177,59,"['History', 'Art']",6,False,Eiffel Tower,"['Great Wall of China', 'Colosseum', 'Machu Picchu']",8,177000,4.9,2.67,90,4.8,5
178,27,"['Nature', 'Art']",4,True,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",5,178000,3.2,1.62,94,4.5,3
179,47,"['History', 'Architecture']",7,True,Great Wall of China,"['Machu Picchu', 'Great Wall of China', 'Colosseum']",4,179000,2.2,4.31,98,4.9,3
180,63,"['Art', 'Architecture', 'History']",7,False,Great Wall of China,['Colosseum'],2,180000,3.4,4.45,96,4.9,3
181,39,['Nature'],8,False,Eiffel Tower,['Machu Picchu'],2,181000,2.8,4.21,96,4.4,3
182,44,"['Architecture', 'Art']",3,False,Great Wall of China,['Eiffel Tower'],1,182000,3.2,2.13,100,4.2,3
183,24,"['Nature', 'Art']",8,True,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",4,183000,3.5,3.88,87,4.9,4
184,42,['Art'],7,False,Machu Picchu,"['Taj Mahal', 'Eiffel Tower', 'Great Wall of China']",9,184000,3.1,2.26,96,4.9,3
185,64,"['Art', 'Cultural', 'Nature']",4,True,Colosseum,"['Taj Mahal', 'Colosseum']",5,185000,4.9,4.19,93,4.2,5
186,43,['Art'],6,True,Eiffel Tower,"['Great Wall of China', 'Taj Mahal']",4,186000,4.2,3.64,90,4.1,4
187,19,['Nature'],7,False,Machu Picchu,"['Taj Mahal', 'Great Wall of China', 'Machu Picchu']",6,187000,1.4,2.2,96,4.6,3
188,27,['Art'],7,False,Eiffel Tower,['Machu Picchu'],1,188000,2.9,3.8,98,4.6,3
189,35,"['Nature', 'Cultural']",6,True,Colosseum,"['Taj Mahal', 'Eiffel Tower']",5,189000,3.2,2.68,99,4.5,3
190,29,"['Nature', 'History', 'Art']",7,True,Great Wall of China,"['Machu Picchu', 'Taj Mahal']",2,190000,2.0,2.69,89,4.1,3
191,57,"['Cultural', 'Architecture', 'Art']",5,True,Colosseum,"['Eiffel Tower', 'Taj Mahal', 'Great Wall of China']",7,191000,4.0,4.17,91,4.8,4
192,34,['Art'],7,True,Machu Picchu,"['Eiffel Tower', 'Great Wall of China']",4,192000,3.6,4.7,92,4.1,4
193,57,"['Architecture', 'Art', 'Nature']",5,True,Eiffel Tower,"['Great Wall of China', 'Machu Picchu', 'Eiffel Tower']",6,193000,1.1,4.01,96,4.7,3
194,61,"['Nature', 'History']",6,True,Colosseum,['Eiffel Tower'],1,194000,4.2,2.36,86,4.0,4
195,22,"['Architecture', 'Art', 'Nature']",6,False,Taj Mahal,['Eiffel Tower'],3,195000,4.2,3.07,93,4.8,4
196,59,['Nature'],4,False,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",4,196000,4.4,4.04,96,4.9,4
197,25,"['Cultural', 'Art']",3,True,Colosseum,['Great Wall of China'],1,197000,2.7,2.78,93,4.9,3
198,41,"['Nature', 'Cultural', 'Architecture']",3,True,Great Wall of China,"['Taj Mahal', 'Machu Picchu']",3,198000,2.9,2.36,85,4.2,3
199,24,['Art'],5,False,Colosseum,"['Great Wall of China', 'Machu Picchu', 'Eiffel Tower']",4,199000,4.8,1.55,100,4.1,5
